LegalAddress,Coordinates
"119296, ГОРОД МОСКВА, ПРОСПЕКТ ЛОМОНОСОВСКИЙ, ДОМ 16","(('37.54374'), ('55.692338'))"
"125212, ГОРОД МОСКВА, ШОССЕ ЛЕНИНГРАДСКОЕ, 27","(('37.485197'), ('55.829704'))"
"129223, ГОРОД МОСКВА, ПРОСПЕКТ МИРА, 123","(('37.643381'), ('55.825032'))"
"127299, ГОРОД МОСКВА, УЛИЦА БОЛЬШАЯ АКАДЕМИЧЕСКАЯ, ДОМ 22А","(('37.529376'), ('55.822888'))"
"125080, ГОРОД МОСКВА, УЛИЦА ВРУБЕЛЯ, ДОМ 6","(('37.500612'), ('55.805523'))"
"125502, ГОРОД МОСКВА, УЛИЦА ПЕТРОЗАВОДСКАЯ, 19А","(('37.489796'), ('55.866081'))"
"119634, ГОРОД МОСКВА, УЛИЦА ШОЛОХОВА, 20","(('37.351078'), ('55.64099'))"
"127591, ГОРОД МОСКВА, ПРОЕЗД КЕРАМИЧЕСКИЙ, ДОМ 55, КОРПУС 3","(('37.562703'), ('55.877349'))"
"117335, ГОРОД МОСКВА, УЛИЦА АРХИТЕКТОРА ВЛАСОВА, 19 А","(('37.554376'), ('55.676849'))"
"127434, ГОРОД МОСКВА, ШОССЕ ДМИТРОВСКОЕ, 5А","(('37.575441'), ('55.812049'))"
"125319, ГОРОД МОСКВА, УЛИЦА 1-Я АЭРОПОРТОВСКАЯ, 1","(('37.535233'), ('55.800934'))"
"119330, ГОРОД МОСКВА, УЛИЦА ДРУЖБЫ, ДОМ 8","(('37.513556'), ('55.709272'))"
"125009, ГОРОД МОСКВА, ПЕРЕУЛОК ЛЕОНТЬЕВСКИЙ, 19/2, СТР.1","(('37.604906'), ('55.760631'))"
"115582, ГОРОД МОСКВА, УЛИЦА ДОМОДЕДОВСКАЯ, ДОМ 35, КОРПУС 2","(('37.717115'), ('55.601747'))"
"115404, ГОРОД МОСКВА, УЛИЦА ЭЛЕВАТОРНАЯ, ДОМ 4, КОРПУС 2","(('37.655616'), ('55.600501'))"
"119607, ГОРОД МОСКВА, ПРОСПЕКТ МИЧУРИНСКИЙ, 23","(('37.507035'), ('55.694124'))"
"124365, ГОРОД МОСКВА, ГОРОД ЗЕЛЕНОГРАД, КОРПУС 2312","(('37.191151'), ('55.967809'))"
"121351, ГОРОД МОСКВА, УЛИЦА ПАРТИЗАНСКАЯ, 30, 2 СТРОЕНИЕ 2","(('37.414176'), ('55.736397'))"
"127474, ГОРОД МОСКВА, УЛИЦА ДУБНИНСКАЯ, 7","(('37.566449'), ('55.857801'))"
"117624, ГОРОД МОСКВА, УЛИЦА ИЗЮМСКАЯ, 38, 1","(('37.563853'), ('55.548136'))"
"115470, ГОРОД МОСКВА, ПРОСПЕКТ АНДРОПОВА, 17, 5","(('37.668857'), ('55.682564'))"
"125252, ГОРОД МОСКВА, БУЛЬВАР ХОДЫНСКИЙ, ДОМ 7","(('37.531711'), ('55.784374'))"
"127572, ГОРОД МОСКВА, УЛИЦА НОВГОРОДСКАЯ, ДОМ 21А","(('37.577984'), ('55.900824'))"
"115172, ГОРОД МОСКВА, УЛИЦА НАРОДНАЯ, 11/2","(('37.652032'), ('55.737851'))"
"125599, ГОРОД МОСКВА, УЛИЦА БУСИНОВСКАЯ ГОРКА, ДОМ 7, КОРПУС 2","(('37.492455'), ('55.882394'))"
"117393, ГОРОД МОСКВА, УЛИЦА ГАРИБАЛЬДИ, 28, 3","(('37.549175'), ('55.669782'))"
"117420, ГОРОД МОСКВА, УЛИЦА НОВОЧЕРЁМУШКИНСКАЯ, 64, 2","(('37.559047'), ('55.664639'))"
"109377, г. Москва, ул. 1-я Новокузьминская, д.21","(('37.792411'), ('55.714389'))"
"125315, город Москва, Большой Коптевский проезд, дом 5","(('37.535215'), ('55.809884'))"
"109428, ГОРОД МОСКВА, УЛИЦА МАЁВОК, ДОМ 4","(('37.770034'), ('55.728368'))"
"125493, ГОРОД МОСКВА, УЛИЦА СМОЛЬНАЯ, ДОМ 25","(('37.494575'), ('55.849787'))"
"119034, ГОРОД МОСКВА, ПЕРЕУЛОК 2-Й ОБЫДЕНСКИЙ, 9","(('37.603226'), ('55.741586'))"
"125167, ГОРОД МОСКВА, ПРОЕЗД АЭРОПОРТА, 10","(('37.520914'), ('55.796385'))"
"109004, ГОРОД МОСКВА, ПЕРЕУЛОК ТОВАРИЩЕСКИЙ, 21","(('37.664833'), ('55.743796'))"
"119602, г. Москва, ул. Академика Анохина, д. 4, корп. 5","(('37.470743'), ('55.671539'))"
"108836, ГОРОД МОСКВА, ПОСЕЛЕНИЕ ДЕСЕНОВСКОЕ, УЛИЦА 3-Я НОВОВАТУТИНСКАЯ, ДОМ 13, КОРПУС 3","(('37.345239'), ('55.517184'))"
"121151, ГОРОД МОСКВА, ПРОЕЗД РЕЗЕРВНЫЙ, 10","(('37.550118'), ('55.74113'))"
"125009, ГОРОД МОСКВА, ТУПИК ХЛЫНОВСКИЙ, 3, 5","(('37.60249'), ('55.757992'))"
"119571, ГОРОД МОСКВА, ПРОСПЕКТ ВЕРНАДСКОГО, 127, 2","(('37.483616'), ('55.653101'))"
"125239, ГОРОД МОСКВА, УЛИЦА МИХАЛКОВСКАЯ, ДОМ 15А","(('37.525899'), ('55.839042'))"
"129075, ГОРОД МОСКВА, УЛИЦА АРГУНОВСКАЯ, 12, 2","(('37.621489'), ('55.81733'))"
"125047, ГОРОД МОСКВА, УЛИЦА 1-Я МИУССКАЯ, 4","(('37.596992'), ('55.779803'))"
"123423, ГОРОД МОСКВА, УЛИЦА НАРОДНОГО ОПОЛЧЕНИЯ, 16, 4","(('37.482214'), ('55.772846'))"
"119571, ГОРОД МОСКВА, УЛИЦА 26-ТИ БАКИНСКИХ КОМИССАРОВ, 3, 5","(('37.486077'), ('55.655884'))"
"115404, ГОРОД МОСКВА, УЛИЦА РЯЖСКАЯ, ДОМ 11","(('37.668004'), ('55.591126'))"
"124575, ГОРОД МОСКВА, ГОРОД ЗЕЛЕНОГРАД, 913-А","(('37.192328'), ('55.984955'))"
"121353, г. Москва, улица Беловежская, д. 67","(('37.39744'), ('55.708415'))"
"111675, ГОРОД МОСКВА, УЛИЦА ТАТЬЯНЫ МАКАРОВОЙ, ДОМ 2","(('37.88704'), ('55.710469'))"
"127642, ГОРОД МОСКВА, УЛИЦА СУХОНСКАЯ, ДОМ 13","(('37.652409'), ('55.878667'))"
"121467, ГОРОД МОСКВА, УЛИЦА ЕЛЬНИНСКАЯ, ДОМ 10, СТРОЕНИЕ 2","(('37.427812'), ('55.737167'))"
"117042, ГОРОД МОСКВА, УЛИЦА ПОЛЯНЫ, ДОМ 53","(('37.547198'), ('55.54947'))"
"109559, ГОРОД МОСКВА, УЛИЦА БЕЛОРЕЧЕНСКАЯ, 19, 2","(('37.767591'), ('55.672001'))"
"108811, ГОРОД МОСКВА, ПОСЕЛЕНИЕ МОСКОВСКИЙ, ГОРОД МОСКОВСКИЙ, УЛИЦА АТЛАСОВА, Д. 7, КОРП. 3","(('37.360295'), ('55.600781'))"
"124683, ГОРОД МОСКВА, ГОРОД ЗЕЛЕНОГРАД, КОРПУС 1556","(('37.1537'), ('55.979903'))"
"124489, ГОРОД МОСКВА, ГОРОД ЗЕЛЕНОГРАД, КОРПУС 603А","(('37.228314'), ('55.991531'))"
"111395, г. Москва, ул. Молдагуловой, д 6А","(('37.809192'), ('55.726837'))"
"115304, г. Москва, ул. Ереванская, д. 19","(('37.67528'), ('55.629816'))"
"117624, ГОРОД МОСКВА, УЛИЦА СКОБЕЛЕВСКАЯ, 28","(('37.553756'), ('55.544805'))"
"125413, ГОРОД МОСКВА, ПРОЕЗД СОЛНЕЧНОГОРСКИЙ, 7","(('37.523034'), ('55.859029'))"
"125252, ГОРОД МОСКВА, УЛИЦА САЛЬВАДОРА АЛЬЕНДЕ, ДОМ 9","(('37.506792'), ('55.794148'))"
"121357, ГОРОД МОСКВА, УЛИЦА КРЕМЕНЧУГСКАЯ, 13","(('37.464392'), ('55.718162'))"
"124365, ГОРОД МОСКВА, ГОРОД ЗЕЛЕНОГРАД, КОРПУС 1609","(('37.153332'), ('55.975536'))"
"105173, ГОРОД МОСКВА, УЛИЦА ГЛАВНАЯ, ДОМ 13","(('37.866585'), ('55.81955'))"
"109518, г. Москва, Саратовская ул., д. 19, стр. 1","(('37.737156'), ('55.715783'))"
"125581, ГОРОД МОСКВА, УЛИЦА ФЛОТСКАЯ, 11","(('37.502732'), ('55.855138'))"
"111674, ГОРОД МОСКВА, УЛИЦА ЛИПЧАНСКОГО, ДОМ 6А","(('37.938181'), ('55.703718'))"
"111555, ГОРОД МОСКВА, УЛИЦА СТАЛЕВАРОВ, 10А","(('37.838001'), ('55.76209'))"
"109431, ГОРОД МОСКВА, УЛИЦА АВИАКОНСТРУКТОРА МИЛЯ, 18, 2","(('37.855383'), ('55.680493'))"
"117452, ГОРОД МОСКВА, БУЛЬВАР ЧОНГАРСКИЙ, ДОМ 17","(('37.608302'), ('55.652075'))"
"105484, ГОРОД МОСКВА, БУЛЬВАР СИРЕНЕВЫЙ, 58 А","(('37.824167'), ('55.801293'))"
"125040, ГОРОД МОСКВА, УЛИЦА СКАКОВАЯ, ДОМ 20, СТРОЕНИЕ 1","(('37.568839'), ('55.780016'))"
"117461, Г. МОСКВА, УЛ. КАХОВКА, Д. 19, К. 2","(('37.577148'), ('55.652288'))"
"119331, ГОРОД МОСКВА, УЛИЦА КРУПСКОЙ, ДОМ 9","(('37.526447'), ('55.681915'))"
"117513, ГОРОД МОСКВА, ПРОСПЕКТ ЛЕНИНСКИЙ, 125, 4","(('37.482223'), ('55.644094'))"
"117246, ГОРОД МОСКВА, УЛИЦА ХЕРСОНСКАЯ, ДОМ 27А","(('37.559712'), ('55.65209'))"
"119146, ГОРОД МОСКВА, УЛИЦА 2-Я ФРУНЗЕНСКАЯ, ДОМ 7А","(('37.579511'), ('55.722238'))"
"115470, ГОРОД МОСКВА, УЛИЦА СУДОСТРОИТЕЛЬНАЯ, ДОМ 10, КОРПУС 1","(('37.671929'), ('55.67925'))"
"129347, ГОРОД МОСКВА, ШОССЕ ЯРОСЛАВСКОЕ, ДОМ 147","(('37.72051'), ('55.88101'))"
"117133, ГОРОД МОСКВА, УЛИЦА АКАДЕМИКА ВАРГИ, 34","(('37.477606'), ('55.633297'))"
"115211, ГОРОД МОСКВА, УЛИЦА БОРИСОВСКИЕ ПРУДЫ, 12, 3","(('37.742196'), ('55.634573'))"
"105082, ГОРОД МОСКВА, ПЕРЕУЛОК ПЕРЕВЕДЕНОВСКИЙ, ДОМ 11","(('37.686671'), ('55.778947'))"
"129347, ГОРОД МОСКВА, УЛИЦА ПРОХОДЧИКОВ, 9","(('37.71936'), ('55.874415'))"
"117042, ГОРОД МОСКВА, УЛИЦА БАРТЕНЕВСКАЯ, 27","(('37.530076'), ('55.549322'))"
"115563, ГОРОД МОСКВА, ПРОЕЗД БОРИСОВСКИЙ, 13","(('37.723304'), ('55.627066'))"
"107392, ГОРОД МОСКВА, УЛИЦА ЗНАМЕНСКАЯ, 12/4","(('37.72051'), ('55.801708'))"
"125239, ГОРОД МОСКВА, УЛИЦА МИХАЛКОВСКАЯ, ДОМ 13А","(('37.527229'), ('55.83846'))"
"121069, ГОРОД МОСКВА, УЛИЦА БОЛЬШАЯ МОЛЧАНОВКА, 26-28","(('37.590201'), ('55.753499'))"
"129323, ГОРОД МОСКВА, УЛИЦА СЕДОВА, 4, 1","(('37.642186'), ('55.852854'))"
"125124, ГОРОД МОСКВА, УЛИЦА 5-Я ЯМСКОГО ПОЛЯ, ДОМ 28","(('37.577013'), ('55.789203'))"
"109443, ГОРОД МОСКВА, УЛИЦА ЗЕЛЕНОДОЛЬСКАЯ, 33, 3","(('37.771211'), ('55.707765'))"
"109651, ГОРОД МОСКВА, БУЛЬВАР НОВОЧЕРКАССКИЙ, ДОМ 19","(('37.722496'), ('55.649053'))"
"109386, ГОРОД МОСКВА, УЛИЦА СТАВРОПОЛЬСКАЯ, 20","(('37.751987'), ('55.67926'))"
"125284, ГОРОД МОСКВА, УЛИЦА БЕГОВАЯ, 19","(('37.55982'), ('55.782365'))"
"125362, г. Москва, ул. Вишнёвая, д. 20, корп. 1","(('37.448671'), ('55.833819'))"
"111672, ГОРОД МОСКВА, УЛИЦА САЛТЫКОВСКАЯ, ДОМ 13 Б","(('37.863369'), ('55.737801'))"
"117209, ГОРОД МОСКВА, УЛИЦА ПЕРЕКОПСКАЯ, ДОМ 7, КОРПУС 3","(('37.580265'), ('55.656941'))"
"г. Москва, 107076, ул. Олений Вал, д.22","(('37.693543'), ('55.80016'))"
"109156, ГОРОД МОСКВА, УЛИЦА МАРШАЛА ПОЛУБОЯРОВА, 22","(('37.860019'), ('55.682595'))"
"107258, ГОРОД МОСКВА, УЛИЦА 3-Я ГРАЖДАНСКАЯ, 64","(('37.711779'), ('55.808472'))"
"115054, ГОРОД МОСКВА, УЛИЦА ДУБИНИНСКАЯ, ДОМ 42","(('37.635072'), ('55.724489'))"
"129110, ГОРОД МОСКВА, УЛИЦА БОЛЬШАЯ ПЕРЕЯСЛАВСКАЯ, 1, СТРОЕНИЕ 1","(('37.642653'), ('55.780198'))"
"119633, г. Москва, ул. Приречная, д.1","(('37.371335'), ('55.64162'))"
"115446, ГОРОД МОСКВА, УЛИЦА САДОВНИКИ, 12","(('37.653756'), ('55.668635'))"
"123103, ГОРОД МОСКВА, УЛИЦА ЖИВОПИСНАЯ, 11, 1","(('37.453163'), ('55.785078'))"
"123056, ГОРОД МОСКВА, УЛИЦА ЗООЛОГИЧЕСКАЯ, 28, СТРОЕНИЕ 1","(('37.58446'), ('55.766354'))"
"121170, ГОРОД МОСКВА, ПРОЕЗД КУТУЗОВСКИЙ, 10, СТР.1","(('37.523366'), ('55.741409'))"
"117556, ГОРОД МОСКВА, ШОССЕ ВАРШАВСКОЕ, ДОМ 67","(('37.621579'), ('55.663918'))"
"115533, ГОРОД МОСКВА, НАБЕРЕЖНАЯ НАГАТИНСКАЯ, ДОМ 24","(('37.656595'), ('55.681087'))"
"119602, г. Москва, ул. Академика Анохина д. 48","(('37.469665'), ('55.653309'))"
"127206, ГОРОД МОСКВА, УЛ. ВУЧЕТИЧА, Д. 30, СТР. 5","(('37.560493'), ('55.815959'))"
"129515, г. Москва, Останкинская 1-я ул., д. 29","(('37.624525'), ('55.824733'))"
"127543, ГОРОД МОСКВА, УЛИЦА БЕЛОЗЕРСКАЯ, 12","(('37.616207'), ('55.895666'))"
"124527, ГОРОД МОСКВА, ГОРОД ЗЕЛЕНОГРАД, 817","(('37.190765'), ('55.976307'))"
"108819, ГОРОД МОСКВА, ПОСЕЛЕНИЕ МОСКОВСКИЙ, ГОРОД МОСКОВСКИЙ, МИКРОРАЙОН 3-Й, ДОМ 8","(('37.346802'), ('55.595511'))"
"127560, ГОРОД МОСКВА, УЛИЦА КОНЁНКОВА, ДОМ 8А","(('37.610206'), ('55.889654'))"
"119311, ГОРОД МОСКВА, УЛИЦА КРУПСКОЙ, ДОМ 12","(('37.526825'), ('55.685056'))"
"109559, ГОРОД МОСКВА, УЛИЦА БЕЛОРЕЧЕНСКАЯ, 11","(('37.769675'), ('55.672062'))"
"111123, ГОРОД МОСКВА, УЛИЦА 3-Я ВЛАДИМИРСКАЯ, 5","(('37.786824'), ('55.762282'))"
"117593, ГОРОД МОСКВА, БУЛЬВАР ЛИТОВСКИЙ, 11, 6","(('37.544494'), ('55.612594'))"
"125080, ГОРОД МОСКВА, УЛИЦА ДУБОСЕКОВСКАЯ, ДОМ 3","(('37.496524'), ('55.809975'))"
"117556, ГОРОД МОСКВА, УЛИЦА ФРУКТОВАЯ, ДОМ 9","(('37.612308'), ('55.658444'))"
"125171, г. Москва, ул. Зои и Александра Космодемьянских, д. 4А","(('37.504861'), ('55.817426'))"
"127474, ГОРОД МОСКВА, БУЛЬВАР БЕСКУДНИКОВСКИЙ, 29","(('37.552804'), ('55.870804'))"
"119620, ГОРОД МОСКВА, ПРОСПЕКТ СОЛНЦЕВСКИЙ, 12А","(('37.4023'), ('55.652888'))"
"115573, ГОРОД МОСКВА, ПРОЕЗД ОРЕХОВЫЙ, 17, 2","(('37.734084'), ('55.623697'))"
"125171, г. Москва, улица 3-я Радиаторская, дом 8 А","(('37.493272'), ('55.817502'))"
"129626, ГОРОД МОСКВА, УЛИЦА СТАРОАЛЕКСЕЕВСКАЯ, 1","(('37.641845'), ('55.810324'))"
"125319, ГОРОД МОСКВА, УЛИЦА УСИЕВИЧА, 6","(('37.531801'), ('55.80488'))"
"115682, ГОРОД МОСКВА, ПРОЕЗД ЗАДОНСКИЙ, ДОМ 34, КОРПУС 3","(('37.754979'), ('55.620337'))"
"125008, ГОРОД МОСКВА, УЛИЦА МИХАЛКОВСКАЯ, 3","(('37.535475'), ('55.836893'))"
"111675, ГОРОД МОСКВА, УЛИЦА МЕДВЕДЕВА, 6","(('37.883671'), ('55.717366'))"
"123060, ГОРОД МОСКВА, УЛИЦА МАРШАЛА КОНЕВА, 10","(('37.488404'), ('55.797194'))"
"125319, ГОРОД МОСКВА, УЛИЦА 8 МАРТА, ДОМ 17","(('37.548285'), ('55.805938'))"
"121609, ГОРОД МОСКВА, БУЛЬВАР ОСЕННИЙ, 10, 3","(('37.41273'), ('55.757541'))"
"119602, ГОРОД МОСКВА, УЛИЦА АКАДЕМИКА АНОХИНА, ДОМ 32","(('37.465811'), ('55.661988'))"
"115035, ГОРОД МОСКВА, НАБЕРЕЖНАЯ САДОВНИЧЕСКАЯ, 37","(('37.63721'), ('55.743634'))"
"117449, ГОРОД МОСКВА, УЛИЦА ШВЕРНИКА, ДОМ 17, КОРПУС 2","(('37.593012'), ('55.691963'))"
"115088, ГОРОД МОСКВА, УЛИЦА 1-Я ДУБРОВСКАЯ, ДОМ 16","(('37.671615'), ('55.72343'))"
"129346, ГОРОД МОСКВА, ПРОЕЗД ЯНТАРНЫЙ, 2","(('37.691441'), ('55.873233'))"
"105118, ГОРОД МОСКВА, ПРОСПЕКТ БУДЁННОГО, 15А","(('37.725056'), ('55.77551'))"
"115563, ГОРОД МОСКВА, ПРОЕЗД БОРИСОВСКИЙ, 40, 2","(('37.72573'), ('55.616163'))"
"109559, г. Москва, ул. Белореченская, д. 8","(('37.764285'), ('55.672534'))"
"125130, ГОРОД МОСКВА, УЛИЦА ЗОИ И АЛЕКСАНДРА КОСМОДЕМЬЯНСКИХ, ДОМ 3, КОРПУС 1","(('37.504331'), ('55.821386'))"
"119021, ГОРОД МОСКВА, БУЛЬВАР ЗУБОВСКИЙ, ДОМ 5, СТРОЕНИЕ 1","(('37.592599'), ('55.734831'))"
"127591, ГОРОД МОСКВА, УЛИЦА ДУБНИНСКАЯ, 46, 2","(('37.560763'), ('55.891451'))"
"115142, ГОРОД МОСКВА, НАБЕРЕЖНАЯ КОЛОМЕНСКАЯ, ДОМ 20","(('37.695429'), ('55.675971'))"
"125368, г. Москва, 3-й Митинский пер., д. 12, корп. 1","(('37.3523'), ('55.846249'))"
"117041, ГОРОД МОСКВА, УЛИЦА АДМИРАЛА ЛАЗАРЕВА, 62, 2","(('37.507789'), ('55.540491'))"
"127562 г. Москва, ул. Санникова, д. 3 корп. 3","(('37.592932'), ('55.859499'))"
"125502, ГОРОД МОСКВА, УЛИЦА ФЕСТИВАЛЬНАЯ, ДОМ 69","(('37.503064'), ('55.862196'))"
"115573, ГОРОД МОСКВА, УЛИЦА МУСЫ ДЖАЛИЛЯ, 36, 2","(('37.738827'), ('55.617159'))"
"119415, город Москва, Проспект Вернадского, д. 55","(('37.504483'), ('55.672808'))"
"117105, ГОРОД МОСКВА, ШОССЕ ВАРШАВСКОЕ, ДОМ 12","(('37.619665'), ('55.697199'))"
"109649, ГОРОД МОСКВА, УЛИЦА 5 КВАРТАЛ КАПОТНИ, 29","(('37.796768'), ('55.629928'))"
"115372, ГОРОД МОСКВА, УЛИЦА ЛЕБЕДЯНСКАЯ, 16","(('37.674561'), ('55.584975'))"
"123100, ГОРОД МОСКВА, УЛИЦА ЧЕРНОГРЯЗСКАЯ 2-Я, ДОМ 7, СТРОЕН 1","(('37.546938'), ('55.762829'))"
"119526, ГОРОД МОСКВА, ПРОСПЕКТ ВЕРНАДСКОГО, 101, 5","(('37.49162'), ('55.664299'))"
"117321, ГОРОД МОСКВА, УЛИЦА ПРОФСОЮЗНАЯ, 132, 9","(('37.507304'), ('55.630873'))"
"125212, ГОРОД МОСКВА, ШОССЕ ЛЕНИНГРАДСКОЕ, 54","(('37.484415'), ('55.837808'))"
"111558, ГОРОД МОСКВА, ПРОСПЕКТ ЗЕЛЁНЫЙ, 75, СТРОЕНИЕ 1","(('37.813243'), ('55.753129'))"
"129626, ГОРОД МОСКВА, УЛИЦА ПАВЛА КОРЧАГИНА, ДОМ 18","(('37.662803'), ('55.818012'))"
"111394, ГОРОД МОСКВА, УЛИЦА УТРЕННЯЯ, ДОМ 12","(('37.792762'), ('55.747475'))"
"127543, ГОРОД МОСКВА, УЛИЦА БЕЛОЗЕРСКАЯ, ДОМ 15","(('37.617554'), ('55.896852'))"
"125130, ГОРОД МОСКВА, ПЕРЕУЛОК 4-Й НОВОПОДМОСКОВНЫЙ, ДОМ 2А","(('37.504196'), ('55.822084'))"
"127247, ГОРОД МОСКВА, БУЛЬВАР БЕСКУДНИКОВСКИЙ, ДОМ 50А","(('37.539688'), ('55.875395'))"
"121614, ГОРОД МОСКВА, УЛИЦА КРЫЛАТСКИЕ ХОЛМЫ, ДОМ 28, КОРПУС 1","(('37.41467'), ('55.764653'))"
"129281, ГОРОД МОСКВА, УЛИЦА ЕНИСЕЙСКАЯ, 32, 3","(('37.670824'), ('55.872592'))"
"127411, ГОРОД МОСКВА, ШОССЕ ДМИТРОВСКОЕ, ДОМ 137А","(('37.540012'), ('55.892314'))"
"108828, ГОРОД МОСКВА, ПОСЕЛЕНИЕ КРАСНОПАХОРСКОЕ, СЕЛО КРАСНАЯ ПАХРА, ДОМ 23","(('37.268244'), ('55.426355'))"
"127576, ГОРОД МОСКВА, УЛИЦА УГЛИЧСКАЯ, 6А","(('37.570159'), ('55.894641'))"
"109144, город Москва, улица Ташкентская, дом 21, корпус 2","(('37.814851'), ('55.701014'))"
"107061, ГОРОД МОСКВА, УЛИЦА 2-Я ПУГАЧЕВСКАЯ, 6А","(('37.728595'), ('55.795605'))"
"117292, ГОРОД МОСКВА, УЛИЦА ГРИМАУ, 8","(('37.579744'), ('55.690654'))"
"115582, ГОРОД МОСКВА, УЛИЦА ДОМОДЕДОВСКАЯ, 24, 7","(('37.709236'), ('55.605465'))"
"125310, ГОРОД МОСКВА, ШОССЕ ПЯТНИЦКОЕ, ДОМ 45, КОРПУС 2","(('37.346829'), ('55.856497'))"
"123181, ГОРОД МОСКВА, УЛИЦА МАРШАЛА КАТУКОВА, 21, 2","(('37.412496'), ('55.80739'))"
"108852, город Москва, Щербинка, улица Авиаторов, дом 9","(('37.531118'), ('55.514773'))"
"107589, ГОРОД МОСКВА, УЛИЦА ХАБАРОВСКАЯ, 4А","(('37.831767'), ('55.816525'))"
"129345, ГОРОД МОСКВА, УЛИЦА ТАЙНИНСКАЯ, 15, 3","(('37.683266'), ('55.884827'))"
"129336, ГОРОД МОСКВА, УЛИЦА СТАРТОВАЯ, 27, 3","(('37.693561'), ('55.884191'))"
"109052, ГОРОД МОСКВА, УЛИЦА НИЖЕГОРОДСКАЯ, ДОМ 64","(('37.706344'), ('55.732803'))"
"121069, ГОРОД МОСКВА, ПЕРЕУЛОК СТОЛОВЫЙ, 10/2, СТР.1","(('37.594755'), ('55.756761'))"
"117418, г. Москва, ул. Новочеремушкинская, д. 56, корп. 2","(('37.563763'), ('55.669315'))"
"119311, ГОРОД МОСКВА, УЛИЦА СТРОИТЕЛЕЙ, 15","(('37.529654'), ('55.686985'))"
"117279, ГОРОД МОСКВА, УЛИЦА ГЕНЕРАЛА АНТОНОВА, ДОМ 4А","(('37.534029'), ('55.643449'))"
"111524, ГОРОД МОСКВА, УЛИЦА ПЛЮЩЕВА, ДОМ 11А","(('37.762668'), ('55.7426'))"
"119361, ГОРОД МОСКВА, УЛИЦА БОЛЬШАЯ ОЧАКОВСКАЯ, 42, 2","(('37.446021'), ('55.677473'))"
"125363, ГОРОД МОСКВА, УЛИЦА АЭРОДРОМНАЯ, ДОМ 9","(('37.430148'), ('55.846745'))"
"117042, ГОРОД МОСКВА, ПРОЕЗД ЧЕЧЁРСКИЙ, 56","(('37.528774'), ('55.532487'))"
"115093, город Москва, 1-ый Павловский переулок, дом 7","(('37.632179'), ('55.716534'))"
"115612, ГОРОД МОСКВА, УЛИЦА КЛЮЧЕВАЯ, ДОМ 6, КОРПУС 2","(('37.755715'), ('55.636961'))"
"127549, ГОРОД МОСКВА, УЛИЦА КОСТРОМСКАЯ, ДОМ 14, КОРПУС 1","(('37.594414'), ('55.883994'))"
"127081, ГОРОД МОСКВА, УЛИЦА ЗАПОВЕДНАЯ, ДОМ 12","(('37.635386'), ('55.867056'))"
"125368, ГОРОД МОСКВА, УЛИЦА БАРЫШИХА, 17, 1","(('37.349183'), ('55.842378'))"
"127495, ГОРОД МОСКВА, ШОССЕ ДМИТРОВСКОЕ, ДОМ 165Е, КОРПУС 8","(('37.542671'), ('55.926993'))"
"111250, ГОРОД МОСКВА, УЛИЦА КРАСНОКАЗАРМЕННАЯ, 11","(('37.701026'), ('55.757394'))"
"127349, ГОРОД МОСКВА, ПРОЕЗД ШЕНКУРСКИЙ, ДОМ 15","(('37.589832'), ('55.896257'))"
"119421, ГОРОД МОСКВА, ПРОСПЕКТ ЛЕНИНСКИЙ, ДОМ 97, КОРПУС 2","(('37.525163'), ('55.671366'))"
"117216, ГОРОД МОСКВА, УЛИЦА ГРИНА, 18, 3 СТРОЕНИЕ 1","(('37.582367'), ('55.565768'))"
"105120, ГОРОД МОСКВА, ПЕРЕУЛОК БОЛЬШОЙ ПОЛУЯРОСЛАВСКИЙ, ДОМ 7","(('37.663252'), ('55.752612'))"
"117519, ГОРОД МОСКВА, УЛИЦА ЧЕРТАНОВСКАЯ, ДОМ 27","(('37.594306'), ('55.616869'))"
"117545, ГОРОД МОСКВА, УЛИЦА ПОДОЛЬСКИХ КУРСАНТОВ, ДОМ 16А","(('37.619827'), ('55.605673'))"
"125424, Г. МОСКВА, Ш. ВОЛОКОЛАМСКОЕ, Д. 71, СТР. 3","(('37.42969'), ('55.819848'))"
"117437, ГОРОД МОСКВА, УЛИЦА ПРОФСОЮЗНАЯ, 118Б","(('37.516656'), ('55.637642'))"
"117041, ГОРОД МОСКВА, УЛИЦА АКАДЕМИКА ПОНТРЯГИНА, ДОМ 17, КОРПУС 1","(('37.502822'), ('55.533562'))"
"127422, ГОРОД МОСКВА, УЛИЦА ТИМИРЯЗЕВСКАЯ, 14А","(('37.568938'), ('55.813334'))"
"109548, ГОРОД МОСКВА, УЛИЦА ГУРЬЯНОВА, ДОМ 6, КОРПУС 2","(('37.719989'), ('55.690872'))"
"109147, ГОРОД МОСКВА, ПЕРЕУЛОК БРОШЕВСКИЙ, ДОМ 21","(('37.672603'), ('55.73513'))"
"115432, ГОРОД МОСКВА, ПРОЕЗД 2-Й ЮЖНОПОРТОВЫЙ, ДОМ 11, СТРОЕНИЕ 1","(('37.682871'), ('55.700207'))"
"123098, ГОРОД МОСКВА, УЛИЦА МАРШАЛА НОВИКОВА, 13","(('37.463152'), ('55.803074'))"
"124498, ГОРОД МОСКВА, ГОРОД ЗЕЛЕНОГРАД, КОРПУС 429А","(('37.207653'), ('55.993882'))"
"115580, ГОРОД МОСКВА, УЛИЦА ШИПИЛОВСКАЯ, 59, 2","(('37.749661'), ('55.624576'))"
